Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%
KLBN11,Basic Materials,Materiais Básicos,31.104385,3.1990042,0.14569001,7.96,146100617216,20.56,Blue Chips,30,9.92,-107.26
VALE3,Basic Materials,Materiais Básicos,31.261486,2.04915,0.05867,7.79,377658966016,88.47,Blue Chips,30,42.45,-108.41
RADL3,Healthcare,Saúde,31.746834,6.265301,0.20379,1.52,43826601984,25.08,Mid Caps,50,11.85,-111.65
WEGE3,Industrials,Indústria,32.064518,9.305373,0.31188,3.24,208526868480,49.7,Blue Chips,50,23.25,-113.76
ENGI11,Utilities,Utilidades Públicas,39.02174,1.1140072,0.19867,6.08,24616474624,53.85,Mid Caps,75,20.7,-160.14
TAEE11,Utilities,Utilidades Públicas,39.44643,1.9907178,0.23587999,7.31,15219961856,44.18,Mid Caps,50,16.8,-162.98
DXCO3,Basic Materials,Materiais Básicos,45.166668,0.72947514,0.01949,0.88,4919481856,5.42,Small Caps,40,1.8,-201.11
BPAC11,Financial Services,Serviços Financeiros,99.77198,4.213495,0.23868,2.28,204736757760,61.26,Blue Chips,50,9.21,-565.15
ENEV3,Utilities,Utilidades Públicas,142.66666,2.0650392,0.0293,0.0,40998215680,21.4,Mid Caps,15,2.25,-851.11
AERI3,Industrials,Indústria,0.0,-0.8222812,-3.00452,0.0,171270912,2.79,Small Caps,0,0.0,-inf
AMER3,Consumer Cyclical,Consumo Cíclico,0.0,0.23757185,-0.15055999,0.0,1125376512,5.62,Small Caps,25,0.0,-inf
ADMF3,Financial Services,Serviços Financeiros,0.0,0.0,0.0,0.0,72901200,12.5,Small Caps,0,0.0,-inf
AALR3,Healthcare,Saúde,0.0,0.770988,-0.06186,0.0,822538112,5.4,Small Caps,25,0.0,-inf
AGRO3,Consumer Defensive,Consumo Defensivo,0.0,1.0248789,-0.00074,3.52,2129778304,21.38,Small Caps,40,0.0,-inf
BRKM5,Basic Materials,Materiais Básicos,0.0,-2.1633205,0.0,0.0,7642927104,9.59,Small Caps,0,0.0,-inf
BEEF3,Consumer Defensive,Consumo Defensivo,0.0,3.9816933,-0.50405,12.61,5153200640,5.22,Small Caps,15,0.0,-inf
CSAN3,Energy,Energia,0.0,1.9817265,-0.29677,0.0,24574068736,6.29,Mid Caps,15,0.0,-inf
HAPV3,Financial Services,Serviços Financeiros,0.0,0.10675866,-0.0063899998,0.0,4979874304,10.49,Small Caps,25,0.0,-inf
MRVE3,Real Estate,Imobiliário,0.0,1.094953,-0.19694,0.0,5763331584,10.24,Small Caps,25,0.0,-inf
PCAR3,Consumer Cyclical,Consumo Cíclico,0.0,0.51582646,-0.25471002,0.0,1511162752,3.08,Small Caps,25,0.0,-inf
RAIZ4,Utilities,Utilidades Públicas,0.0,-4.090909,-2.31277,0.0,6516163072,0.63,Small Caps,0,0.0,-inf
USIM5,Basic Materials,Materiais Básicos,0.0,0.41812053,-0.115509994,0.0,8702765056,7.07,Small Caps,25,0.0,-inf
