Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%
WEGE3,Industrials,Indústria,32.064518,9.305373,0.31188,3.24,208526868480,49.7,Blue Chips,50,23.25,-113.76
TAEE11,Utilities,Utilidades Públicas,38.893806,1.9803541,0.23587999,7.23,15140727808,43.95,Mid Caps,50,16.95,-159.29
ENGI11,Utilities,Utilidades Públicas,39.282608,1.1214547,0.19867,5.92,24781041664,54.21,Mid Caps,75,20.7,-161.88
DXCO3,Basic Materials,Materiais Básicos,45.416668,0.73351276,0.01949,0.85,4946711040,5.45,Small Caps,40,1.8,-202.78
BPAC11,Financial Services,Serviços Financeiros,100.114006,4.2279387,0.23868,2.25,205438599168,61.47,Blue Chips,50,9.21,-567.43
ENEV3,Utilities,Utilidades Públicas,152.07144,2.0544245,0.0293,0.0,40787476480,21.29,Mid Caps,15,2.1,-913.81
AERI3,Industrials,Indústria,0.0,-0.8222812,-3.00452,0.0,171270912,2.79,Small Caps,0,0.0,-inf
AMER3,Consumer Cyclical,Consumo Cíclico,0.0,0.23757185,-0.15055999,0.0,1125376512,5.62,Small Caps,25,0.0,-inf
ADMF3,Financial Services,Serviços Financeiros,0.0,0.0,0.0,0.0,72901200,12.5,Small Caps,0,0.0,-inf
AALR3,Healthcare,Saúde,0.0,0.770988,-0.06186,0.0,822538112,5.4,Small Caps,25,0.0,-inf
AGRO3,Consumer Defensive,Consumo Defensivo,0.0,1.0200853,-0.00074,3.4,2119816960,21.28,Small Caps,40,0.0,-inf
BRKM5,Basic Materials,Materiais Básicos,0.0,-2.1588087,0.0,0.0,7626987008,9.57,Small Caps,0,0.0,-inf
BEEF3,Consumer Defensive,Consumo Defensivo,0.0,3.9816933,-0.50405,12.59,5153200640,5.22,Small Caps,15,0.0,-inf
CSAN3,Energy,Energia,0.0,1.9848772,-0.29677,0.0,24613138432,6.3,Mid Caps,15,0.0,-inf
HAPV3,Financial Services,Serviços Financeiros,0.0,0.107165754,-0.0063899998,0.0,4998863360,10.53,Small Caps,25,0.0,-inf
MRVE3,Real Estate,Imobiliário,0.0,1.094953,-0.19694,0.0,5763331584,10.24,Small Caps,25,0.0,-inf
PCAR3,Consumer Cyclical,Consumo Cíclico,0.0,0.56903154,-0.25471002,0.0,1530788224,3.12,Small Caps,25,0.0,-inf
RAIZ4,Utilities,Utilidades Públicas,0.0,-4.090909,-2.31277,0.0,6516163072,0.63,Small Caps,0,0.0,-inf
USIM5,Basic Materials,Materiais Básicos,0.0,0.41516352,-0.115509994,0.0,8641217536,7.02,Small Caps,25,0.0,-inf
