Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking
PETR3,Energy,Energia,7.7867384,1.32413,0.19022,10.45,560015474688,43.45,Blue Chips,100,83.7,48.0884109916368,124.0442054958184
BPAC5,Financial Services,Serviços Financeiros,7.857143,0.7565858,0.23868,4.28,127464202240,11.0,Blue Chips,100,21.0,47.61904761904761,123.80952380952381
TAEE3,Utilities,Utilidades Públicas,8.491018,0.6389402,0.23587999,7.74,14701569024,14.18,Mid Caps,100,25.05,43.39321357285429,121.69660678642714
TAEE4,Utilities,Utilidades Públicas,8.586826,0.6461497,0.23587999,7.59,14820342784,14.34,Mid Caps,100,25.05,42.75449101796408,121.37724550898204
BAZA3,Financial Services,Serviços Financeiros,4.1533685,0.66910917,0.15239,9.19,4873149440,86.93,Small Caps,85,313.95,72.31087752826882,121.1554387641344
BRSR6,Financial Services,Serviços Financeiros,4.3436756,0.6494202,0.1567,8.18,7443335680,18.2,Small Caps,85,62.85,71.04216388225936,120.52108194112968
BRSR5,Financial Services,Serviços Financeiros,4.484487,0.67047286,0.1567,6.79,7684630528,18.79,Small Caps,85,62.85,70.10342084327765,120.05171042163883
BRSR3,Financial Services,Serviços Financeiros,4.634845,0.69295275,0.1567,6.66,7942284288,19.42,Small Caps,85,62.85,69.10103420843278,119.5505171042164
BGIP4,Financial Services,Serviços Financeiros,4.8900256,0.9321828,0.15865,15.31,877480320,38.24,Small Caps,85,117.3,67.3998294970162,118.69991474850809
ABCB4,Financial Services,Serviços Financeiros,4.949627,0.9466548,0.15463,11.61,6404260352,26.53,Small Caps,85,80.4,67.00248756218905,118.50124378109453
JHSF3,Real Estate,Imobiliário,4.957895,0.99819857,0.20974001,8.83,6299268096,9.42,Small Caps,85,28.5,66.94736842105262,118.4736842105263
CEEB5,Utilities,Utilidades Públicas,5.2558784,1.2690779,0.25589,15.84,9959651328,38.0,Small Caps,85,108.45,64.96081143384048,117.48040571692025
ENGI3,Utilities,Utilidades Públicas,9.770993,0.26479656,0.19867,5.12,32186814464,12.8,Mid Caps,100,19.65,34.86005089058523,117.43002544529261
LUXM4,Industrials,Indústria,5.434211,1.0245596,0.27951,2.81,171675840,4.13,Small Caps,85,11.4,63.771929824561404,116.8859649122807
DEXP4,Basic Materials,Materiais Básicos,5.832,0.847773,0.15665,8.37,878958144,7.29,Small Caps,85,18.75,61.120000000000005,115.56
EMAE4,Utilities,Utilidades Públicas,5.892944,1.1541302,0.23438999,9.78,4138965760,48.44,Small Caps,85,123.3,60.71370640713707,115.35685320356853
CAMB3,Consumer Cyclical,Consumo Cíclico,5.968354,1.2693499,0.22233999,11.33,394547200,9.43,Small Caps,85,23.7,60.210970464135016,115.10548523206751
DEXP3,Basic Materials,Materiais Básicos,5.976,0.86870563,0.15665,11.16,900660800,7.47,Small Caps,85,18.75,60.160000000000004,115.08
RSUL4,Consumer Cyclical,Consumo Cíclico,6.0204086,1.4383866,0.26481,7.53,394081120,64.9,Small Caps,85,161.7,59.86394557823128,114.93197278911563
GRND3,Consumer Cyclical,Consumo Cíclico,6.175,1.1002228,0.18363,28.07,4456670208,4.94,Small Caps,85,12.0,58.83333333333333,114.41666666666666
VTRU3,Consumer Defensive,Consumo Defensivo,6.4587154,0.6638065,0.18058,0.15,1881827584,14.08,Small Caps,85,32.7,56.941896024464846,113.47094801223243
CEAB3,Consumer Cyclical,Consumo Cíclico,6.4814816,1.1278888,0.16736999,7.48,3710700544,12.25,Small Caps,85,28.35,56.79012345679012,113.39506172839506
LPSB3,Real Estate,Imobiliário,6.586207,1.0079156,0.20635,9.46,262219616,1.91,Small Caps,85,4.35,56.0919540229885,113.04597701149424
CMIG4,Utilities,Utilidades Públicas,5.1403513,1.1669819,0.1416,14.3,36971343872,11.72,Mid Caps,80,34.2,65.73099415204679,112.86549707602339
CLSC3,Utilities,Utilidades Públicas,7.2266903,1.210515,0.19126,5.63,5475208192,124.01,Small Caps,85,257.4,51.82206682206682,110.91103341103342
SHUL4,Consumer Cyclical,Consumo Cíclico,7.342466,1.2321839,0.17659001,7.79,1911130624,5.36,Small Caps,85,10.95,51.05022831050228,110.52511415525115
EQMA3B,Utilities,Utilidades Públicas,7.4681315,1.2869749,0.17863001,8.06,5578969088,33.98,Small Caps,85,68.25,50.21245421245422,110.10622710622711
MDNE3,Real Estate,Imobiliário,7.6450834,1.4888847,0.20983,15.4,3320593408,31.88,Small Caps,85,62.55,49.03277378097522,109.51638689048761
TECN3,Consumer Cyclical,Consumo Cíclico,8.1,1.135408,0.16256,5.1,491366176,8.1,Small Caps,85,15.0,46.0,108.0
SUZB3,Basic Materials,Materiais Básicos,5.1608133,1.5752207,0.35192,1.95,69023653888,55.83,Blue Chips,75,162.27,65.59437973747458,107.79718986873729
CLSC4,Utilities,Utilidades Públicas,8.654227,1.4487915,0.19126,5.5,5724795392,148.42,Small Caps,85,257.25,42.30515063168125,106.15257531584062
ISAE4,Utilities,Utilidades Públicas,7.579515,0.8759579,0.14341,9.45,18527799296,28.12,Mid Caps,80,55.65,49.469901168014374,104.73495058400718
INTB3,Technology,Tecnologia,9.291666,1.39564,0.1566,10.6,4378870784,13.38,Small Caps,85,21.6,38.05555555555556,104.02777777777777
CSED3,Consumer Defensive,Consumo Defensivo,9.405797,1.4285713,0.16102,4.33,2365881088,6.49,Small Caps,85,10.35,37.29468599033816,103.64734299516908
NEOE3,Utilities,Utilidades Públicas,7.9202905,1.0918717,0.14588,4.44,39800414208,32.79,Mid Caps,80,62.1,47.19806763285025,103.59903381642512
CEEB3,Utilities,Utilidades Públicas,6.4882436,1.5666432,0.25589,12.83,12294927360,46.91,Mid Caps,75,108.45,56.74504379898572,103.37252189949285
BBDC3,Financial Services,Serviços Financeiros,8.197183,1.0350959,0.13754,1.18,199169851392,17.46,Blue Chips,80,31.95,45.352112676056336,102.67605633802816
ALUP11,Utilities,Utilidades Públicas,8.212317,1.2551734,0.14232999,2.8,15613407232,34.27,Mid Caps,80,62.6,45.25559105431309,102.62779552715655
CALI3,Industrials,Indústria,4.0116277,0.6745132,0.14538999,1.57,120556800,17.25,Small Caps,65,64.5,73.25581395348837,101.62790697674419
BBSE3,Financial Services,Serviços Financeiros,7.436559,6.4647603,0.89815,15.16,67127214080,34.58,Blue Chips,75,69.75,50.42293906810036,100.21146953405018
ISAE3,Utilities,Utilidades Públicas,9.172506,1.0600585,0.14341,7.96,22421798912,34.03,Mid Caps,80,55.65,38.849955076370165,99.42497753818509
ALUP4,Utilities,Utilidades Públicas,9.396552,0.39922354,0.14232999,2.93,11682060288,10.9,Mid Caps,80,17.4,37.35632183908045,98.67816091954023
BBDC4,Financial Services,Serviços Financeiros,9.516432,1.2016836,0.13754,1.13,214396026880,20.27,Blue Chips,80,31.95,36.557120500782474,98.27856025039124
COGN3,Consumer Defensive,Consumo Defensivo,5.234375,0.52384675,0.10893,5.33,6685220352,3.35,Small Caps,65,9.6,65.10416666666667,97.55208333333334
SANB3,Financial Services,Serviços Financeiros,9.95092,0.63347,0.12748,5.31,123435900928,16.22,Blue Chips,80,24.45,33.66053169734152,96.83026584867076
EQPA3,Utilities,Utilidades Públicas,8.653333,2.8254244,0.3318,10.15,14340915200,6.49,Mid Caps,75,11.25,42.31111111111111,96.15555555555555
RECV3,Energy,Energia,5.792453,0.78839236,0.13571,15.64,3597766912,12.28,Small Caps,65,31.8,61.383647798742146,95.69182389937107
VULC3,Consumer Cyclical,Consumo Cíclico,4.5245094,2.003473,0.51646,43.5,5771203584,18.46,Small Caps,60,61.2,69.83660130718954,94.91830065359477
MRSA5B,Industrials,Indústria,9.341121,1.5546137,0.18652001,2.62,14576903168,39.98,Mid Caps,75,64.2,37.725856697819324,93.86292834890966
BLAU3,Healthcare,Saúde,6.370588,1.0643735,0.14319,7.61,2501566976,10.83,Small Caps,65,25.5,57.529411764705884,93.76470588235294
SOND6,Industrials,Indústria,4.902878,1.8317431,0.42337,28.77,132549024,54.52,Small Caps,60,166.8,67.31414868105516,93.65707434052757
CGRA4,Consumer Cyclical,Consumo Cíclico,6.434988,0.67741776,0.10784,7.24,640859968,27.22,Small Caps,65,63.45,57.10007880220647,93.55003940110323
UGPA3,Energy,Energia,9.516728,1.6690573,0.18759,6.9,27360292864,25.6,Mid Caps,75,40.35,36.55514250309789,93.27757125154895
EUCA4,Industrials,Indústria,6.5414014,0.6749696,0.10971,5.53,1969429888,20.54,Small Caps,65,47.1,56.390658174097666,93.19532908704883
CGRA3,Consumer Cyclical,Consumo Cíclico,6.602837,0.6950874,0.10784,7.0,657576064,27.93,Small Caps,65,63.45,55.981087470449175,92.99054373522459
REDE3,Utilities,Utilidades Públicas,9.723078,3.2048683,0.30802,9.43,16231051264,6.32,Mid Caps,75,9.75,35.17948717948718,92.58974358974359
PSSA3,Financial Services,Serviços Financeiros,9.752399,2.0669596,0.22815001,4.82,32525723648,50.81,Mid Caps,75,78.15,34.98400511836213,92.49200255918106
EUCA3,Industrials,Indústria,6.8917193,0.7111169,0.10971,4.73,1993800832,21.64,Small Caps,65,47.1,54.0552016985138,92.0276008492569
SOND5,Industrials,Indústria,5.3956833,2.0158582,0.42337,26.14,145872000,60.0,Small Caps,60,166.8,64.02877697841727,92.01438848920864
ITSA4,Industrials,Indústria,9.963768,1.668082,0.17063,0.71,154156023808,13.75,Blue Chips,75,20.7,33.57487922705314,91.78743961352657
ITSA3,Industrials,Indústria,9.971015,1.6692952,0.17063,0.71,154268762112,13.76,Blue Chips,75,20.7,33.52657004830918,91.76328502415458
LOGG3,Real Estate,Imobiliário,6.9754295,0.68488854,0.100439996,14.33,2481689856,28.39,Small Caps,65,61.05,53.4971334971335,91.74856674856674
VLID3,Industrials,Indústria,7.0230265,0.9731085,0.14046,15.22,1673300864,21.35,Small Caps,65,45.6,53.17982456140351,91.58991228070175
IGTI3,Real Estate,Imobiliário,7.06383,0.22858717,0.12998,2.83,4004839424,3.32,Small Caps,65,7.05,52.90780141843972,91.45390070921985
PINE4,Financial Services,Serviços Financeiros,5.5969386,1.9848019,0.33765998,4.83,2600018688,10.97,Small Caps,60,29.4,62.68707482993198,91.343537414966
PINE3,Financial Services,Serviços Financeiros,5.663265,2.008323,0.33765998,5.69,2630830336,11.1,Small Caps,60,29.4,62.24489795918367,91.12244897959184
MELK3,Real Estate,Imobiliário,7.301887,0.72471905,0.13416,14.67,795350976,3.87,Small Caps,65,7.95,51.320754716981135,90.66037735849056
BRAP3,Financial Services,Serviços Financeiros,7.4444447,0.8660061,0.12597,15.69,8352711680,20.1,Small Caps,65,40.5,50.37037037037037,90.18518518518519
WLMM3,Consumer Cyclical,Consumo Cíclico,7.491857,1.0136178,0.14849,9.1,842906880,23.0,Small Caps,65,46.05,50.0542888165038,90.0271444082519
SMTO3,Basic Materials,Materiais Básicos,7.711207,0.9564287,0.11124,5.08,5774413824,17.89,Small Caps,65,34.8,48.591954022988496,89.29597701149424
EZTC3,Real Estate,Imobiliário,7.7142854,0.81698817,0.10967,8.16,4193668608,15.12,Small Caps,65,29.4,48.57142857142857,89.28571428571428
TRIS3,Real Estate,Imobiliário,7.793478,1.0553429,0.14347,15.23,1674260224,7.17,Small Caps,65,13.8,48.04347826086957,89.02173913043478
BALM4,Healthcare,Saúde,7.804781,1.0476496,0.14218001,27.35,193220032,19.59,Small Caps,65,37.65,47.96812749003984,88.98406374501992
WLMM4,Consumer Cyclical,Consumo Cíclico,7.8175898,1.0576881,0.14849,9.68,873952128,24.0,Small Caps,65,46.05,47.88273615635179,88.9413680781759
POMO3,Industrials,Indústria,6.5578947,1.7845889,0.29189,18.33,7728885248,6.23,Small Caps,60,14.25,56.280701754385966,88.14035087719299
POMO4,Industrials,Indústria,6.968421,1.8963047,0.29189,17.36,8212715520,6.62,Small Caps,60,14.25,53.54385964912281,86.7719298245614
BRAP4,Financial Services,Serviços Financeiros,8.574074,0.99741495,0.12597,14.91,9100186624,23.15,Small Caps,65,40.5,42.839506172839506,86.41975308641975
EVEN3,Real Estate,Imobiliário,8.634408,0.7955221,0.104119994,9.87,1572410240,8.03,Small Caps,65,13.95,42.437275985663085,86.21863799283155
SBFG3,Consumer Cyclical,Consumo Cíclico,8.635715,0.87659514,0.112220004,4.61,2777355520,12.09,Small Caps,65,21.0,42.42857142857142,86.21428571428571
BEES3,Financial Services,Serviços Financeiros,8.867347,1.2462354,0.14352,3.99,3019811072,8.69,Small Caps,65,14.7,40.8843537414966,85.4421768707483
BEES4,Financial Services,Serviços Financeiros,8.989797,1.2634448,0.14352,3.85,3074664704,8.81,Small Caps,65,14.7,40.06802721088435,85.03401360544217
ECOR3,Industrials,Indústria,7.6590905,1.6713506,0.22025,3.07,7032730624,10.11,Small Caps,60,19.8,48.939393939393945,84.46969696969697
LAVV3,Real Estate,Imobiliário,7.6652546,2.2919042,0.28968,10.76,3535407360,18.09,Small Caps,60,35.4,48.898305084745765,84.44915254237289
EKTR4,Utilities,Utilidades Públicas,7.8723407,3.5124357,0.47262,9.77,7169092608,37.0,Small Caps,60,70.5,47.5177304964539,83.75886524822695
WIZC3,Financial Services,Serviços Financeiros,7.882353,2.1494043,0.27255,6.13,1499930368,9.38,Small Caps,60,17.85,47.45098039215686,83.72549019607843
LEVE3,Consumer Cyclical,Consumo Cíclico,8.102325,5.3848534,0.58611,3.48,4722179072,34.84,Small Caps,60,64.5,45.984496124031004,82.9922480620155
CMIG3,Utilities,Utilidades Públicas,6.6885967,1.5184705,0.1416,10.92,43625398272,15.25,Mid Caps,55,34.2,55.409356725146196,82.7046783625731
BGIP3,Financial Services,Serviços Financeiros,8.31202,1.5845157,0.15865,7.83,1411045504,65.0,Small Caps,60,117.3,44.586530264279624,82.29326513213981
CSUD3,Technology,Tecnologia,8.323144,1.5460739,0.19412,13.6,788125824,19.06,Small Caps,60,34.35,44.512372634643384,82.25618631732169
VITT3,Basic Materials,Materiais Básicos,9.880953,0.98927295,0.10196,6.94,609048128,4.15,Small Caps,65,6.3,34.12698412698412,82.06349206349206
TEND3,Real Estate,Imobiliário,8.402332,2.8785458,0.37199003,4.34,3492462080,28.82,Small Caps,60,51.45,43.98445092322644,81.99222546161322
RANI3,Consumer Cyclical,Consumo Cíclico,8.809091,1.5383394,0.18021,1.72,2233556736,9.69,Small Caps,60,16.5,41.27272727272728,80.63636363636364
OFSA3,Healthcare,Saúde,9.048508,1.8300505,0.19979,4.14,1303864448,24.25,Small Caps,60,40.2,39.67661691542289,79.83830845771145
PLPL3,Real Estate,Imobiliário,9.198718,2.9423828,0.38394,10.54,2911755264,14.35,Small Caps,60,23.4,38.67521367521367,79.33760683760684
WHRL3,Consumer Cyclical,Consumo Cíclico,9.212766,3.0364656,0.30252,11.06,6574886912,4.33,Small Caps,60,7.05,38.58156028368794,79.29078014184397
TGMA3,Industrials,Indústria,9.308613,2.6066859,0.29378998,11.3,2565638656,38.91,Small Caps,60,62.7,37.94258373205742,78.97129186602871
UNIP3,Basic Materials,Materiais Básicos,9.689864,2.8941305,0.29680002,14.57,7149399040,64.05,Small Caps,60,99.15,35.400907715582456,77.70045385779123
VIVA3,Consumer Cyclical,Consumo Cíclico,9.75238,2.4597645,0.28418,4.4,7221405696,30.72,Small Caps,60,47.25,34.98412698412699,77.4920634920635
SANB4,Financial Services,Serviços Financeiros,10.2576685,0.65299743,0.12748,5.64,127240953856,16.72,Blue Chips,55,24.45,31.61554192229039,70.8077709611452
ALUP3,Utilities,Utilidades Públicas,10.698276,0.4545288,0.14232999,2.6,12272008192,12.41,Mid Caps,55,17.4,28.678160919540225,69.33908045977012
LREN3,Consumer Cyclical,Consumo Cíclico,11.261194,1.4694712,0.13555999,6.09,14821386240,15.09,Mid Caps,55,20.1,24.925373134328364,67.46268656716418
CPFE3,Utilities,Utilidades Públicas,10.120254,2.4381196,0.25479,5.87,55273648128,47.97,Blue Chips,50,71.1,32.53164556962025,66.26582278481013
ITUB3,Financial Services,Serviços Financeiros,10.533666,2.2775803,0.21014,0.52,465760387072,42.24,Blue Chips,50,60.15,29.775561097256855,64.88778054862843
EQPA5,Utilities,Utilidades Públicas,10.599999,3.4610362,0.3318,8.29,17562136576,7.95,Mid Caps,50,11.25,29.333333333333332,64.66666666666667
CGAS3,Utilities,Utilidades Públicas,10.716318,8.375957,1.07075,6.89,17088970752,128.06,Mid Caps,50,179.25,28.557880055788004,64.27894002789401
CGAS5,Utilities,Utilidades Públicas,11.121339,8.692524,1.07075,7.3,17611984896,132.9,Mid Caps,50,179.25,25.857740585774053,62.92887029288703
MOTV3,Industrials,Indústria,11.158621,2.0600967,0.20778,2.07,32529690624,16.18,Mid Caps,50,21.75,25.60919540229885,62.804597701149426
ITUB4,Financial Services,Serviços Financeiros,11.204488,2.4226248,0.21014,1.24,495424339968,44.96,Blue Chips,50,60.19,25.303206512709746,62.651603256354875
ENMT3,Utilities,Utilidades Públicas,11.611375,2.705538,0.25207,10.58,10728155136,49.0,Mid Caps,50,63.3,22.590837282780406,61.2954186413902
CMIN3,Basic Materials,Materiais Básicos,11.822223,2.8617537,0.25948998,9.93,28898478080,5.32,Mid Caps,50,6.75,21.185185185185183,60.592592592592595
CXSE3,Financial Services,Serviços Financeiros,12.027396,3.8875356,0.32463002,7.46,52679999488,17.56,Blue Chips,50,21.9,19.817351598173516,59.90867579908676
ENMT4,Utilities,Utilidades Públicas,12.322275,2.8711832,0.25207,10.58,11560317952,52.0,Mid Caps,50,63.3,17.851500789889414,58.92575039494471
EGIE3,Utilities,Utilidades Públicas,12.422641,2.9477074,0.2182,4.84,37606862848,32.92,Mid Caps,50,39.75,17.182389937106915,58.59119496855346
CURY3,Real Estate,Imobiliário,12.637584,7.9351034,0.6767,13.6,11640677376,37.66,Mid Caps,50,44.7,15.749440715883681,57.87472035794184
ANIM3,Consumer Defensive,Consumo Defensivo,11.069768,0.7639224,0.10375,1.16,1798613376,4.76,Small Caps,40,6.45,26.201550387596907,53.100775193798455
MULT3,Real Estate,Imobiliário,14.495652,2.589917,0.19108,3.71,16333000704,33.34,Mid Caps,50,34.5,3.3623188405797007,51.68115942028985
WHRL4,Consumer Cyclical,Consumo Cíclico,10.0,3.2959325,0.30252,10.83,7063094272,4.7,Small Caps,35,7.05,33.33333333333333,51.666666666666664
SBSP3,Utilities,Utilidades Públicas,14.635742,2.469516,0.17889999,4.23,104941887488,149.87,Blue Chips,50,153.6,2.4283854166666603,51.21419270833333
SANB11,Financial Services,Serviços Financeiros,16.143694,1.2899824,0.12748,5.42,155915517952,33.03,Blue Chips,55,30.69,-7.6246334310850425,51.18768328445748
KEPL3,Industrials,Indústria,10.148149,1.8401612,0.1879,6.49,1424787840,8.22,Small Caps,35,12.15,32.34567901234568,51.172839506172835
UNIP6,Basic Materials,Materiais Básicos,10.24357,3.0595093,0.29680002,15.04,7557935616,67.71,Small Caps,35,99.15,31.709531013615745,50.85476550680787
TTEN3,Basic Materials,Materiais Básicos,10.27907,1.8814515,0.19983,2.18,8830814208,17.68,Small Caps,35,25.8,31.472868217054266,50.736434108527135
CSMG3,Utilities,Utilidades Públicas,15.0,2.3576806,0.16393,1.81,20305166336,53.55,Mid Caps,50,53.55,0.0,50.0
TIMS3,Communication Services,Comunicação,15.03352,2.6808128,0.17117001,10.4,64279068672,26.91,Blue Chips,50,26.85,-0.2234636871508332,49.88826815642458
UNIP5,Basic Materials,Materiais Básicos,10.574886,3.1584654,0.29680002,14.56,7802388480,69.9,Small Caps,35,99.15,29.500756429652043,49.75037821482602
FIQE3,Communication Services,Comunicação,10.74,1.6452206,0.16124001,15.9,2090146560,5.37,Small Caps,35,7.5,28.4,49.2
IRBR3,Financial Services,Serviços Financeiros,12.257321,0.9001383,0.10587,1.01,4782284800,58.59,Small Caps,40,71.7,18.284518828451883,49.14225941422594
KLBN3,Basic Materials,Materiais Básicos,17.0,0.60837096,0.14569001,8.26,23988598784,3.91,Mid Caps,55,3.45,-13.33333333333333,48.333333333333336
KLBN4,Basic Materials,Materiais Básicos,17.043478,0.6099269,0.14569001,8.22,24049950720,3.92,Mid Caps,55,3.45,-13.623188405797093,48.18840579710145
PTNT3,Consumer Cyclical,Consumo Cíclico,12.892308,0.9562936,0.12005,3.13,402629568,8.38,Small Caps,40,9.75,14.051282051282044,47.02564102564102
PTNT4,Consumer Cyclical,Consumo Cíclico,12.923077,0.95857584,0.12005,3.16,403590496,8.4,Small Caps,40,9.75,13.846153846153841,46.92307692307692
MILS3,Industrials,Indústria,12.008,2.026735,0.18961,5.05,3402888448,15.01,Small Caps,35,18.75,19.94666666666667,44.973333333333336
ABEV3,Consumer Defensive,Consumo Defensivo,16.655914,2.751332,0.16976999,15.33,241899978752,15.49,Blue Chips,50,13.95,-11.039426523297498,44.48028673835125
CEBR6,Utilities,Utilidades Públicas,12.199187,2.1743226,0.18868,16.16,2163178240,30.01,Small Caps,35,36.9,18.672086720867203,44.3360433604336
CEBR5,Utilities,Utilidades Públicas,12.223577,2.1786697,0.18868,14.9,2316424448,30.07,Small Caps,35,36.9,18.509485094850945,44.25474254742547
CEBR3,Utilities,Utilidades Públicas,12.658536,2.2561946,0.18868,14.63,2318262784,31.14,Small Caps,35,36.9,15.60975609756097,42.80487804878049
ODPV3,Healthcare,Saúde,12.757009,5.766793,0.447,7.41,7440521728,13.65,Small Caps,35,16.05,14.953271028037385,42.476635514018696
MBRF3,Consumer Defensive,Consumo Defensivo,11.662651,2.2781832,0.11405,28.89,27206332416,19.36,Mid Caps,30,24.9,22.24899598393574,41.12449799196787
BMEB3,Financial Services,Serviços Financeiros,13.793104,3.3333333,0.40597,2.3,8153773056,72.0,Small Caps,35,78.3,8.04597701149425,39.02298850574712
RDOR3,Healthcare,Saúde,19.262377,4.43621,0.20047002,8.64,85847932928,38.91,Blue Chips,50,30.3,-28.415841584158404,35.7920792079208
B3SA3,Financial Services,Serviços Financeiros,19.47826,5.17321,0.25591,3.39,89829441536,17.92,Blue Chips,50,13.8,-29.855072463768124,35.07246376811594
BMEB4,Financial Services,Serviços Financeiros,15.425287,3.7277775,0.40597,2.31,8412977152,80.52,Small Caps,35,78.3,-2.8352490421455925,33.582375478927204
GGPS3,Industrials,Indústria,20.545454,3.4795997,0.18178,2.96,13560180736,18.08,Mid Caps,50,13.2,-36.96969696969696,31.51515151515152
VAMO3,Industrials,Indústria,10.948718,1.7301459,0.10601,3.39,4551746048,4.27,Small Caps,15,5.85,27.008547008547012,28.504273504273506
EQTL3,Utilities,Utilidades Públicas,15.938224,1.8142662,0.1313,5.86,51940175872,41.28,Blue Chips,30,38.85,-6.254826254826254,26.872586872586872
BAUH4,Consumer Defensive,Consumo Defensivo,18.16211,3.4295936,0.21395001,1.33,485614400,92.99,Small Caps,35,76.8,-21.080729166666664,24.459635416666668
FRAS3,Consumer Cyclical,Consumo Cíclico,18.477272,2.8069973,0.16083999,3.05,6764203008,24.39,Small Caps,35,19.8,-23.18181818181818,23.40909090909091
BMOB3,Communication Services,Comunicação,13.602273,1.778339,0.13066,9.53,2020151808,23.94,Small Caps,15,26.4,9.31818181818181,19.659090909090907
SLCE3,Consumer Defensive,Consumo Defensivo,13.99138,1.5298331,0.11078,7.95,8063817216,16.23,Small Caps,15,17.4,6.724137931034472,18.362068965517235
IGTI4,Real Estate,Imobiliário,26.212765,0.84825116,0.12998,2.27,14861332480,12.32,Mid Caps,55,7.05,-74.7517730496454,17.624113475177303
FLRY3,Healthcare,Saúde,15.154545,1.6840085,0.10616,11.51,9085408256,16.67,Small Caps,15,16.5,-1.0303030303030405,14.484848484848479
TFCO4,Consumer Cyclical,Consumo Cíclico,21.512823,4.794286,0.28275,1.68,2541966848,16.78,Small Caps,35,11.7,-43.418803418803435,13.290598290598282
SMFT3,Consumer Cyclical,Consumo Cíclico,20.291666,2.0329785,0.107480004,7.66,11964880896,19.48,Mid Caps,30,14.4,-35.27777777777778,12.36111111111111
TOTS3,Technology,Tecnologia,26.432625,4.2898254,0.16139999,1.67,21901670400,37.27,Mid Caps,50,21.15,-76.21749408983453,11.891252955082734
CPLE3,Utilities,Utilidades Públicas,20.957144,1.8836671,0.10955,8.51,43570941952,14.67,Mid Caps,30,10.5,-39.714285714285715,10.142857142857142
TKNO3,Basic Materials,Materiais Básicos,17.8267,1.8923677,0.11018,10.05,645910784,214.99,Small Caps,15,180.9,-18.844665561083474,5.577667219458263
TKNO4,Basic Materials,Materiais Básicos,18.088722,1.9201823,0.11018,10.14,643064704,218.15,Small Caps,15,180.9,-20.591487009397458,4.704256495301271
MOVI3,Industrials,Indústria,22.015873,1.6906385,0.10215,6.83,4690359296,13.87,Small Caps,15,9.45,-46.77248677248678,-8.38624338624339
KLBN11,Basic Materials,Materiais Básicos,29.576397,3.0418546,0.14569001,8.23,138923491328,19.55,Blue Chips,30,9.92,-97.07661290322581,-18.538306451612904
